dow_et,6,8,11,13,15,16,20
Monday,,,,8.0,63.0,52.0,
Tuesday,21.0,2.0,1.0,1.0,9.0,9.0,
Wednesday,,,,10.0,71.0,49.0,
Thursday,23.0,3.0,1.0,1.0,7.0,10.0,
Friday,,,,,54.0,88.0,2.0
Saturday,,,,7.0,9.0,15.0,
Sunday,20.0,2.0,,1.0,10.0,26.0,6.0
